"filename", "language", "pip requirements", "Python", "C++", "Markdown", "reStructuredText", "Ini", "CMake", "toml", "Shell Script", "XML", "CSS", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_exceptions.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_exceptions.py", "Python", 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 95, 433
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_factory_constructors.cpp", "C++", 0, 0, 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 36, 431
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_factory_constructors.py", "Python", 0, 413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 96, 517
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_gil_scoped.cpp", "C++", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 145
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_gil_scoped.py", "Python", 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 65, 243
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_iostream.cpp", "C++", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 26, 127
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_iostream.py", "Python", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 73, 292
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_kwargs_and_defaults.cpp", "C++", 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 28, 328
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_kwargs_and_defaults.py", "Python", 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 64, 426
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_local_bindings.cpp", "C++", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 18, 107
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_local_bindings.py", "Python", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 57, 258
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_methods_and_attributes.cpp", "C++", 0, 0, 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 56, 494
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_methods_and_attributes.py", "Python", 0, 415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 110, 538
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_modules.cpp", "C++", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 14, 126
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_modules.py", "Python", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27, 117
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_multiple_inheritance.cpp", "C++", 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 32, 342
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_multiple_inheritance.py", "Python", 0, 361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 121, 494
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_numpy_array.cpp", "C++", 0, 0, 442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 60, 553
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_numpy_array.py", "Python", 0, 511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 126, 675
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_numpy_dtypes.cpp", "C++", 0, 0, 545, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 60, 640
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_numpy_dtypes.py", "Python", 0, 356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 83, 449
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_numpy_vectorize.cpp", "C++", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 15, 108
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_numpy_vectorize.py", "Python", 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 267
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_opaque_types.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 78
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_opaque_types.py", "Python", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 59
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_operator_overloading.cpp", "C++", 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 35, 282
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_operator_overloading.py", "Python", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27, 152
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_pickling.cpp", "C++", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 30, 195
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_pickling.py", "Python", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 94
